category,side
Ingenieria en sistemas de la informacion,1
Ingenieria en sistemas de la informacion,1
Ingenieria en sistemas de la informacion,1
Ingenieria en sistemas de la informacion,1
Ingenieria en sistemas de la informacion,0
Ingenieria en sistemas de la informacion,1
Ingenieria en sistemas de la informacion,1
Ingenieria en sistemas de la informacion,1
Ingenieria Biomedica,1
Ingeniería Matemática,0
Ingeniería de Datos,1
Ingeniería de Sistemas de Información +ADE,1
Ingeniería de Sistemas de Información,0
Ingeniería Matemática y Física,0
Arte digital,0
Arquitectura,1
Diseño de interiores,1
Ingenieria de Fisica,1
Ingenieria de sistemas de Telecomunicacion ,1
Ingenieria de sistemas de Telecomunicacion ,1
Ingenieria de sistemas de Telecomunicacion ,0
Ingenieria de sistemas de Telecomunicacion ,1
Ingenieria de Matematicas,1
Ingenieria de sistemas de Telecomunicacion + ADE,1
Ingenieria Matematica + Ciencia e Ingenieria de Datos,0
Ingenieria Matematica,1
Ingenieria Matematica,0
Ingenieria Matematica,1
Ciencia e Ingeniería de Datos,1
Ciencia e Ingeniería de Datos,1
Ingeniería Biomédica,1
Ingeniería Biomédica,0
Ingeniería Biomédica,1
Ingeniería Biomédica,1
Ingeniería Matemática y Física,1
Ingeniería Matemática y Física,1
Ingeniería Matemática y Física,1
Arte Digital,0
Arte Digital,0
Arte Digital,0
