"period","pb_ug"
"today",46.3305824367215
"today",7.01427772785186
"1880_1920",50.5731546881694
"today",28.8484197215943
"today",21.0341392166042
"today",43.836274161046
"today",14.9430994046479
"today",35.6626447227335
"today",26.9348604354182
"today",38.3231351124993
"today",29.9921307862501
"today",23.699349444636
"1880_1920",30.1710729225363
"today",35.3880253634103
"today",11.8318562362995
"today",23.1757893931551
"today",39.1985055627485
"today",35.0713169370857
"today",36.9294088333292
"today",40.6643813147768
"today",-3.87510675905671
"today",29.9664315269097
"today",33.0727078588878
"today",26.5499147582473
"1880_1920",59.6019336344841
"1880_1920",23.7107000558583
"today",37.5545524098216
"today",24.9066416591552
"today",22.4370694054208
"today",34.6315598258991
"today",18.128841485232
"today",24.8350601976712
"today",22.9423191933928
"today",29.7794280754719
"1880_1920",55.4618940641103
"today",42.4442184551651
"today",21.6942123229634
"today",26.1900003084702
"today",17.0426755477605
"today",47.0627179617265
"today",15.2720284503584
"today",34.3390703712181
"today",36.1578845685905
"today",22.8187946769152
"today",14.2431409237939
"today",27.547636647677
"1880_1920",55.6007421773478
"1880_1920",43.5189605778354
"1880_1920",63.7603265476274
"today",18.0381558284282
"today",0.296344322210992
"today",30.9320745885659
"1880_1920",41.2552464419016
"today",15.8391684889283
"today",23.5914708836928
"1880_1920",32.1670562260949
"today",32.2322417183007
"today",30.7289756722945
"today",9.82031655361086
"today",-0.637119087603899
"1880_1920",51.4799219113093
"today",11.2080387456759
"today",31.686950131422
"today",20.1510935583647
"1880_1920",37.1466262806445
"today",-14.6993100718595
"today",29.6514312029594
"1880_1920",50.6760173293412
"today",30.7178340672196
"1880_1920",42.0724212959333
"today",17.0722537890031
"today",29.5460277642917
"today",36.8226277967691
"1880_1920",57.9547049075677
"today",34.5053376238228
"1880_1920",59.7243883843741
"today",40.6522974567044
"1880_1920",63.4828608235639
"today",29.6952849619581
"today",36.7507817764287
"today",17.8226387830164
"today",33.3044014431299
"1880_1920",27.7421374940117
"today",48.2986612568995
"today",39.315932798021
"today",43.2508007672163
"today",20.4064780224106
"today",34.3009075967384
"1880_1920",40.7469699716118
"today",32.7190906534971
"today",36.1759622413588
"1880_1920",60.6179385434202
"1880_1920",35.7783506198457
"1880_1920",49.7793275631141
"today",9.32156793158594
"1880_1920",58.7425408504918
"today",19.1284093392061
"today",37.3146789182946
"today",26.3180670780663
"today",19.5833242074128
"today",35.7063111108068
"today",-0.442960284555802
"1880_1920",28.0713265800857
"1880_1920",55.6156665659384
"today",23.0942547583128
"today",40.5498611952931
"today",32.0471806310252
"today",5.47872554333088
"today",33.6971973556395
"today",38.8342414479511
"today",39.5980110145169
"today",51.1726346527641
"today",27.6564241178791
"today",2.00043999335859
"today",34.3006119479533
"today",13.3335827793765
"today",39.0821328938968
"1880_1920",65.5695020765634
"today",19.3622749545393
"1880_1920",59.6821805297235
"today",25.387162984847
"today",15.3151190392672
"today",22.511233519886
"1880_1920",84.0946031908349
"today",20.8549498503761
"1880_1920",47.4104673896606
"1880_1920",22.7909603559986
"today",24.9700942665258
"today",24.6074469986537
"today",34.3998737378148
